entity,event,attribute
Person,DeathEvent,integer_age
Person,FirstPregEvent,parity_status
Person,FirstPregEvent,age_status
Person,FirstPregEvent,union_status
Person,Union1DissolutionEvent,parity_status
Person,Union1DissolutionEvent,union_status
Person,Union1DissolutionEvent,union_duration
Person,Union1FormationEvent,parity_status
Person,Union1FormationEvent,age_status
Person,Union1FormationEvent,union_status
Person,Union2DissolutionEvent,parity_status
Person,Union2DissolutionEvent,union_status
Person,Union2DissolutionEvent,union_duration
Person,Union2FormationEvent,parity_status
Person,Union2FormationEvent,union_status
Person,Union2FormationEvent,dissolution_duration
Person,UnionPeriod2Event,union_period2_change
